,SerialNo,Movie Name,Year of release,Run time,Movie Rating,Metascore,Votes,Gross collection in millions,Description,Director,Star
225,226,OMG: Oh My God!,2012,125,8.1,62.28,58920,0.92,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Umesh Shukla,"['Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar']"
226,227,The Grand Budapest Hotel,2014,99,8.1,88.0,799575,59.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,"['Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody']"
227,228,Gone Girl,2014,149,8.1,79.0,972482,167.77,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,"['Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry']"
228,229,Ôkami kodomo no Ame to Yuki,2012,117,8.1,71.0,44948,75.62454999999994,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Mamoru Hosoda,"['Aoi Miyazaki, Takao Osawa, Haru Kuroki, Yukito Nishii']"
229,230,Hacksaw Ridge,2016,139,8.1,71.0,518367,67.21,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,"['Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer']"
230,231,Barfi!,2012,151,8.1,62.28,82079,2.8,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,Anurag Basu,"[""Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla""]"
231,232,12 Years a Slave,2013,134,8.1,96.0,696666,56.67,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,"['Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt']"
232,233,Rush,2013,123,8.1,74.0,477193,26.95,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,"['Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara']"
233,234,Ford v Ferrari,2019,152,8.1,81.0,385180,117.62,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,"['Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe']"
234,235,Spotlight,2015,129,8.1,93.0,467018,45.06,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,"['Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber']"
